,Date,Text,Positive,Negative,Neutral,Compound
79,Tue Nov 28 17:42:57 +0000 2017,"Sen. Chuck Schumer: ""If the President and Republicans in Congress set out to pass a middle class tax cut as they cl… https://t.co/yO4D6Mzzvx",0.0,0.091,0.909,-0.2732
80,Tue Nov 28 16:40:31 +0000 2017,"General Secretary of the Alliance of Colonial Era Tribes: Trump showed ""lack of understanding of what would be insu… https://t.co/MePegM9GLI",0.0,0.108,0.892,-0.3182
81,Tue Nov 28 16:21:29 +0000 2017,How do pass-through businesses work? @ChristineRomans breaks it down https://t.co/bLMEwJyhwf,0.0,0.0,1.0,0.0
82,Mon Nov 27 20:05:39 +0000 2017,"As Donald Trump criticizes CNN, @bencnn responds: ""I don't do it for the money, I do it because I believe in the im… https://t.co/0vCZ6wSo9J",0.0,0.103,0.897,-0.34
83,Mon Nov 27 19:45:58 +0000 2017,"RT @CNNPR: For nearly four decades, @CNN has been a constant here in the United States and around the world. Our journalists, in front of a…",0.104,0.0,0.896,0.4215
84,Mon Nov 27 18:46:27 +0000 2017,"Republican Senator James Lankford thinks Roy Moore should step aside: ""I have no reason to doubt"" Moore's accusers,… https://t.co/pX9KpUpz18",0.0,0.217,0.783,-0.5719
85,Mon Nov 27 18:40:57 +0000 2017,"Sen. James Lankford says elected officials should be held to a higher standard, Sen. Franken should go through the… https://t.co/Q1in1aXZ8O",0.0,0.0,1.0,0.0
86,Mon Nov 27 18:28:53 +0000 2017,"RT @CNNPolitics: The Senate GOP's tax plan would increase the deficit by $1.4 trillion over the next 10 years, the Congressional Budget Off…",0.088,0.104,0.808,-0.1027
87,Mon Nov 27 18:28:41 +0000 2017,"Sen. Al Franken apologizes amid groping allegations: ""I know that I've let a lot of people down""… https://t.co/hpAeREf08C",0.135,0.0,0.865,0.3612
88,Mon Nov 27 18:20:41 +0000 2017,"RT @CNN: Sen. Al Franken is addressing reporters in the wake of accusations that he groped multiple women.

Live updates: https://t.co/Btsg…",0.0,0.103,0.897,-0.3182
89,Mon Nov 27 18:13:20 +0000 2017,RT @CNN: JUST IN: Meghan Markle tells the story of how Prince Harry proposed https://t.co/T3WS8YzVoK https://t.co/Fgh0zLzTgX,0.0,0.0,1.0,0.0
90,Mon Nov 27 16:51:17 +0000 2017,RT @CNN: The https://t.co/Z3bi2Oh5oJ word of the year for 2017 is... https://t.co/hRGvMphOkO https://t.co/FNFEimfQyJ,0.0,0.0,1.0,0.0
91,Mon Nov 27 16:21:53 +0000 2017,RT @CNNPolitics: Why some victims of sexual harassment can't speak out https://t.co/B0eXG3iwXa https://t.co/tP7BWaNC2v,0.0,0.345,0.655,-0.7003
92,Mon Nov 27 15:20:20 +0000 2017,President Trump has just one month left to salvage a lost legislative year in a presidency that he vowed would be a… https://t.co/XUGJBrQ079,0.0,0.103,0.897,-0.3182
93,Mon Nov 27 15:03:12 +0000 2017,Prince Harry designed the ring he gave to Meghan Markle himself. It features two diamonds from the collection of Di… https://t.co/iSIelkYWNh,0.0,0.0,1.0,0.0
94,Mon Nov 27 15:00:06 +0000 2017,"CNN's @brianstelter weighs in on Trump's latest assault of the free press:  ""He calls real news fake while promotin… https://t.co/LsKs371en0",0.121,0.254,0.625,-0.5574
95,Mon Nov 27 14:50:13 +0000 2017,"New York Time's Alex Burns says Trump questioning the authenticity of ""Access Hollywood"" tape is part of a ""habit""… https://t.co/71QjK3Ovqa",0.0,0.072,0.928,-0.1027
96,Mon Nov 27 14:31:02 +0000 2017,RT @CNNPolitics: Trump has questioned the authenticity of the infamous “Access Hollywood” tape in which he bragged about being able to grop…,0.0,0.062,0.938,-0.1027
97,Mon Nov 27 14:11:48 +0000 2017,RT @CNN: Prince Harry and Meghan Markle make their first appearance together as an engaged couple https://t.co/KWHqIEM8My // https://t.co/A…,0.13,0.0,0.87,0.4019
98,Mon Nov 27 13:55:49 +0000 2017,"RT @brianstelter: In our @CNN media digest:
 -- Kochs help Meredith buy Time Inc.
 -- Putin's new ""foreign agents"" law
 -- ""House of Cards""…",0.105,0.0,0.895,0.4019
99,Sun Nov 26 20:07:58 +0000 2017,RT @CNN: A survivor of the attack on the Egyptian mosque that left 305 people dead says he hid under dead bodies to avoid detection by the…,0.066,0.405,0.529,-0.9153
